,header_version,scan_name,scan_time,temperature_system,temperature_detector,humidity,pga,wavelength,intensity,reference,valid_length
75,1,cfg8,2024210232237,33.28,32.29,56.87,2,1201.420715,131,30431,220
76,1,cfg8,2024210232237,33.28,32.29,56.87,2,1205.007366,128,30803,220
77,1,cfg8,2024210232237,33.28,32.29,56.87,2,1208.589667,136,31194,220
78,1,cfg8,2024210232237,33.28,32.29,56.87,2,1212.167618,147,31650,220
79,1,cfg8,2024210232237,33.28,32.29,56.87,2,1216.931452,141,32344,220
80,1,cfg8,2024210232237,33.28,32.29,56.87,2,1220.499252,151,32911,220
81,1,cfg8,2024210232237,33.28,32.29,56.87,2,1224.062702,138,33521,220
82,1,cfg8,2024210232237,33.28,32.29,56.87,2,1227.621802,155,34184,220
83,1,cfg8,2024210232237,33.28,32.29,56.87,2,1231.176552,143,34825,220
84,1,cfg8,2024210232237,33.28,32.29,56.87,2,1235.909451,160,35657,220
85,1,cfg8,2024210232237,33.28,32.29,56.87,2,1239.45405,150,36321,220
86,1,cfg8,2024210232237,33.28,32.29,56.87,2,1242.994299,157,37050,220
87,1,cfg8,2024210232237,33.28,32.29,56.87,2,1246.530198,165,37677,220
88,1,cfg8,2024210232237,33.28,32.29,56.87,2,1250.061746,162,38276,220
89,1,cfg8,2024210232237,33.28,32.29,56.87,2,1254.763711,176,39147,220
90,1,cfg8,2024210232237,33.28,32.29,56.87,2,1258.285109,176,39887,220
91,1,cfg8,2024210232237,33.28,32.29,56.87,2,1261.802157,157,40519,220
92,1,cfg8,2024210232237,33.28,32.29,56.87,2,1265.314854,172,41071,220
93,1,cfg8,2024210232237,33.28,32.29,56.87,2,1268.823202,185,41740,220
94,1,cfg8,2024210232237,33.28,32.29,56.87,2,1273.494231,177,42718,220
95,1,cfg8,2024210232237,33.28,32.29,56.87,2,1276.992428,195,43477,220
96,1,cfg8,2024210232237,33.28,32.29,56.87,2,1280.486275,176,44227,220
97,1,cfg8,2024210232237,33.28,32.29,56.87,2,1283.975772,197,44953,220
98,1,cfg8,2024210232237,33.28,32.29,56.87,2,1287.460918,201,45639,220
99,1,cfg8,2024210232237,33.28,32.29,56.87,2,1292.101013,192,46420,220
100,1,cfg8,2024210232237,33.28,32.29,56.87,2,1295.576009,204,46983,220
