    ,header_version ,scan_name ,scan_time    ,temperature_system ,temperature_detector ,humidity ,pga ,wavelength  ,intensity ,reference ,valid_length
0,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,900.393956,671,148647,220
1,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,904.328624,783,169738,220
2,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,909.56808,1143,194579,220
3,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,913.492597,875,214402,220
4,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,917.412764,1391,238348,220
5,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,921.328581,1129,266640,220
6,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,925.240047,1671,298635,220
7,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,930.448569,1543,347208,220
8,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,934.349885,1966,384942,220
9,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,938.246851,1738,420129,220
10,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,942.139467,2276,454503,220
11,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,946.027732,2921,486439,220
12,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,951.205319,2670,527070,220
13,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,955.083434,2827,557374,220
14,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,958.957199,3466,588066,220
15,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,962.826613,3121,618316,220
16,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,966.691677,3154,648499,220
17,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,971.83833,3860,689205,220
18,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,975.693243,3413,718927,220
19,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,979.543807,3962,746784,220
20,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,983.39002,4288,772237,220
21,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,987.231884,4069,795454,220
22,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,991.069397,4025,816749,220
23,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,996.179314,4302,840440,220
24,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,1000.006676,4498,854751,220
25,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,1003.829689,4425,865687,220
26,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,1007.648351,4737,874158,220
27,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,1011.462663,4569,880454,220
28,1,cfg8      ,2.02393E+11,36.29,34.21,72.17,64,1016.541645,4201,887800,220
