,header_version,scan_name,scan_time,temperature_system,temperature_detector,humidity,pga,wavelength,intensity,reference,valid_length
0,1,cfg8,2023926173112,38.29,37.2,68.76,0,900.393956,-3,0,220
1,1,cfg8,2023926173112,38.29,37.2,68.76,0,904.328624,6,0,220
2,1,cfg8,2023926173112,38.29,37.2,68.76,0,909.56808,1,0,220
3,1,cfg8,2023926173112,38.29,37.2,68.76,0,913.492597,7,0,220
4,1,cfg8,2023926173112,38.29,37.2,68.76,0,917.412764,6,0,220
5,1,cfg8,2023926173112,38.29,37.2,68.76,0,921.328581,14,0,220
6,1,cfg8,2023926173112,38.29,37.2,68.76,0,925.240047,13,0,220
7,1,cfg8,2023926173112,38.29,37.2,68.76,0,930.448569,18,0,220
8,1,cfg8,2023926173112,38.29,37.2,68.76,0,934.349885,19,0,220
9,1,cfg8,2023926173112,38.29,37.2,68.76,0,938.246851,8,0,220
10,1,cfg8,2023926173112,38.29,37.2,68.76,0,942.139467,16,0,220
11,1,cfg8,2023926173112,38.29,37.2,68.76,0,946.027732,19,0,220
12,1,cfg8,2023926173112,38.29,37.2,68.76,0,951.205319,16,0,220
13,1,cfg8,2023926173112,38.29,37.2,68.76,0,955.083434,21,0,220
14,1,cfg8,2023926173112,38.29,37.2,68.76,0,958.957199,19,0,220
15,1,cfg8,2023926173112,38.29,37.2,68.76,0,962.826613,22,0,220
16,1,cfg8,2023926173112,38.29,37.2,68.76,0,966.691677,18,0,220
17,1,cfg8,2023926173112,38.29,37.2,68.76,0,971.83833,31,0,220
18,1,cfg8,2023926173112,38.29,37.2,68.76,0,975.693243,23,0,220
19,1,cfg8,2023926173112,38.29,37.2,68.76,0,979.543807,33,0,220
20,1,cfg8,2023926173112,38.29,37.2,68.76,0,983.39002,31,0,220
21,1,cfg8,2023926173112,38.29,37.2,68.76,0,987.231884,24,0,220
22,1,cfg8,2023926173112,38.29,37.2,68.76,0,991.069397,30,0,220
23,1,cfg8,2023926173112,38.29,37.2,68.76,0,996.179314,34,0,220
24,1,cfg8,2023926173112,38.29,37.2,68.76,0,1000.006676,34,0,220
